date,state,fips,cases,deaths
2021-01-01,Alabama,01,365747,4872
2021-01-01,Alaska,02,46740,198
2021-01-01,Arizona,04,530267,9015
2021-01-01,Arkansas,05,229442,3711
2021-01-01,California,06,2345811,26236
2021-01-01,Colorado,08,338357,4936
2021-01-01,Connecticut,09,185708,5995
2021-01-01,Delaware,10,58064,930
2021-01-01,District of Columbia,11,29252,788
2021-01-01,Florida,12,1323307,21672
2021-01-01,Georgia,13,654950,10610
2021-01-01,Guam,66,8295,123
2021-01-01,Hawaii,15,21736,287
2021-01-01,Idaho,16,141388,1438
2021-01-01,Illinois,17,966287,17979
2021-01-01,Indiana,18,520750,8371
2021-01-01,Iowa,19,282980,3898
2021-01-01,Kansas,20,230352,2879
2021-01-01,Kentucky,21,269470,2956
2021-01-01,Louisiana,22,315275,7488
2021-01-01,Maine,23,24201,347
2021-01-01,Maryland,24,280387,5942
2021-01-01,Massachusetts,25,375178,12423
2021-01-01,Michigan,26,526845,13011
2021-01-01,Minnesota,27,415361,5382
2021-01-01,Mississippi,28,218386,4816
2021-01-01,Missouri,29,421217,5906
2021-01-01,Montana,30,81701,962
2021-01-01,Nebraska,31,168567,1707
2021-01-01,Nevada,32,227046,3146
2021-01-01,New Hampshire,33,44028,759
2021-01-01,New Jersey,34,484882,19160
2021-01-01,New Mexico,35,144142,2504
2021-01-01,New York,36,996073,37733
2021-01-01,North Carolina,37,543976,6819
2021-01-01,North Dakota,38,92777,1316
2021-01-01,Northern Mariana Islands,69,122,2
2021-01-01,Ohio,39,700380,8962
2021-01-01,Oklahoma,40,290936,2489
2021-01-01,Oregon,41,115377,1501
2021-01-01,Pennsylvania,42,652952,16247
2021-01-01,Puerto Rico,72,110669,1521
2021-01-01,Rhode Island,44,87949,1777
2021-01-01,South Carolina,45,307507,5296
2021-01-01,South Dakota,46,99164,1488
2021-01-01,Tennessee,47,572579,6846
2021-01-01,Texas,48,1778306,28434
2021-01-01,Utah,49,276612,1273
2021-01-01,Vermont,50,7412,136
2021-01-01,Virgin Islands,78,2036,23
2021-01-01,Virginia,51,354766,5081
2021-01-01,Washington,53,251585,3523
2021-01-01,West Virginia,54,87820,1361
2021-01-01,Wisconsin,55,522523,5257
2021-01-01,Wyoming,56,44409,438
2021-01-02,Alabama,01,369458,4872
2021-01-02,Alaska,02,47549,207
2021-01-02,Arizona,04,539162,9061
2021-01-02,Arkansas,05,231442,3729
2021-01-02,California,06,2398005,26542
2021-01-02,Colorado,08,340454,4976
2021-01-02,Connecticut,09,190120,6099
2021-01-02,Delaware,10,58873,930
2021-01-02,District of Columbia,11,29509,792
2021-01-02,Florida,12,1354825,21889
2021-01-02,Georgia,13,662077,10612
2021-01-02,Guam,66,8295,124
2021-01-02,Hawaii,15,21895,287
2021-01-02,Idaho,16,142290,1451
2021-01-02,Illinois,17,977677,18217
2021-01-02,Indiana,18,526065,8410
2021-01-02,Iowa,19,283895,3946
2021-01-02,Kansas,20,230352,2879
2021-01-02,Kentucky,21,275803,2999
2021-01-02,Louisiana,22,315275,7488
2021-01-02,Maine,23,25245,358
2021-01-02,Maryland,24,283339,5967
